"";"x"
"1";"2020_11_05_165428-2"
"2";"2021_11_17_143754-1"
"3";"2020_11_12_100944-78"
"4";"2021_11_20_165040-4"
"5";"2020_11_07_165224-31"
"6";"2021_11_16_133506-81"
"7";"2020_11_12_141252-83"
"8";"2020_10_29_153848-65"
"9";"2021_11_08_171652-1"
"10";"2021_11_25_170420-2"
"11";"2021_11_01_114640-3"
"12";"2021_11_09_122404-1"
"13";"2020_10_31_163758-13"
"14";"2020_11_07_101328-62"
"15";"2020_10_29_163324-7"
"16";"2020_11_09_111012-11"
"17";"2021_11_07_104404-30"
"18";"2020_11_09_102024-1"
"19";"2020_10_27_091634-48"
"20";"2020_11_07_093536-31"
"21";"2020_11_02_134616-3"
"22";"2020_11_04_100600-3"
"23";"2020_10_30_142210-27"
"24";"2021_11_08_102728-27"
"25";"2021_11_21_140328-2"
"26";"2020_11_15_081540-5"
"27";"2020_11_15_092230-42"
"28";"2020_11_12_142054-9"
"29";"2021_11_16_140340-7"
"30";"2020_11_07_144702-4"
"31";"2020_11_12_100944-60"
"32";"2021_11_02_164708-5"
"33";"2020_11_10_152434-53"
"34";"2020_11_13_152744-129"
"35";"2020_11_07_165224-28"
"36";"2021_11_15_153500-4"
"37";"2021_11_09_135758-48"
"38";"2021_11_16_140340-25"
"39";"2021_11_13_153748-10"
"40";"2020_11_07_095746-37"
"41";"2020_11_13_084534-4"
"42";"2020_11_12_093124-54"
"43";"2020_11_13_110538-18"
"44";"2020_11_15_085406-2"
"45";"2021_11_29_081528-9"
"46";"2021_11_27_143604-6"
"47";"2020_11_08_151802-56"
"48";"2020_10_30_142210-8"
"49";"2020_11_06_152146-35"
"50";"2021_11_29_090834-1"
"51";"2020_10_27_091634-34"
"52";"2021_11_28_162838-8"
"53";"2020_11_07_093536-30"
"54";"2020_11_05_155444-30"
"55";"2020_11_09_103102-68"
"56";"2021_11_07_104404-27"
"57";"2020_11_08_102624-6"
"58";"2021_11_19_150018-3"
"59";"2020_10_30_102824-1"
"60";"2021_11_22_085432-1"
"61";"2020_11_07_095746-191"
"62";"2021_11_06_102714-60"
"63";"2020_11_07_093536-37"
"64";"2020_10_27_170640-16"
"65";"2020_11_10_105852-7"
"66";"2020_11_18_082334-13"
"67";"2021_11_24_154454-4"
"68";"2020_11_12_141252-38"
"69";"2021_11_08_095010-4"
"70";"2021_11_29_150022-2"
"71";"2020_11_07_101750-11"
"72";"2020_10_31_081842-2"
"73";"2020_10_29_153848-83"
"74";"2020_11_19_081708-4"
"75";"2021_11_05_095108-23"
"76";"2020_11_07_165224-20"
"77";"2020_11_04_091052-49"
"78";"2021_11_16_160458-9"
"79";"2020_11_05_155444-7"
"80";"2020_11_18_155926-7"
"81";"2020_10_29_155446-6"
"82";"2021_11_23_125000-4"
"83";"2020_11_02_134616-4"
"84";"2021_11_28_083322-1"
"85";"2021_11_19_094836-13"
"86";"2021_11_21_104514-10"
"87";"2020_11_12_141252-65"
"88";"2020_11_07_095746-100"
"89";"2021_11_03_132222-13"
"90";"2021_11_08_095010-6"
"91";"2020_11_08_151802-68"
"92";"2020_10_30_142210-42"
"93";"2021_11_06_093058-18"
"94";"2020_10_30_145442-28"
"95";"2021_11_21_152530-6"
"96";"2021_10_31_082416-5"
"97";"2021_11_05_135324-1"
"98";"2021_11_23_092200-1"
"99";"2021_11_22_131520-3"
"100";"2020_10_27_091634-40"
"101";"2021_11_05_074144-1"
"102";"2020_11_10_152434-40"
"103";"2021_11_19_115940-6"
"104";"2020_11_09_111012-8"
"105";"2020_11_12_141252-19"
"106";"2020_11_07_101328-77"
"107";"2021_11_16_160458-6"
"108";"2020_11_11_130734-5"
"109";"2020_10_30_084352-15"
"110";"2020_11_13_110538-41"
"111";"2021_11_11_103344-7"
"112";"2020_10_29_171214-2"
"113";"2020_11_06_152146-39"
"114";"2020_10_30_075250-2"
"115";"2020_11_07_101750-30"
"116";"2020_11_07_101328-111"
"117";"2020_11_09_113014-6"
"118";"2020_11_15_092230-11"
"119";"2021_11_13_153748-1"
"120";"2020_11_02_134616-78"
"121";"2020_10_29_153848-106"
"122";"2020_10_29_095712-13"
"123";"2021_11_11_134854-2"
"124";"2020_10_30_145442-19"
"125";"2021_11_16_133506-14"
"126";"2020_11_18_085756-1"
"127";"2020_11_04_172610-3"
"128";"2021_11_02_084152-39"
"129";"2020_11_12_100944-79"
"130";"2021_11_16_121448-13"
"131";"2020_11_12_100944-49"
"132";"2020_11_07_093536-56"
"133";"2020_11_06_154514-8"
"134";"2020_11_07_095746-68"
"135";"2021_11_05_090652-5"
"136";"2020_11_07_095746-33"
"137";"2021_11_09_135758-18"
"138";"2020_10_29_153848-68"
"139";"2020_10_30_093208-41"
"140";"2020_11_04_091052-59"
"141";"2021_11_17_143754-8"
"142";"2021_11_16_132530-9"
"143";"2021_11_06_102714-12"
"144";"2020_11_08_101518-44"
"145";"2021_11_22_141148-1"
"146";"2021_11_23_083846-1"
"147";"2020_11_03_150430-8"
"148";"2020_11_13_161410-4"
"149";"2021_11_17_114938-1"
"150";"2020_11_02_075244-2"
"151";"2020_11_19_075706-25"
"152";"2020_11_02_134616-11"
"153";"2020_10_30_142210-41"
"154";"2020_11_17_085524-3"
"155";"2020_11_14_135856-34"
"156";"2020_10_30_093208-46"
"157";"2020_10_30_093208-44"
"158";"2020_11_05_155444-6"
"159";"2021_11_12_082356-5"
"160";"2021_11_11_160414-2"
"161";"2021_11_04_085430-37"
"162";"2021_11_04_085430-20"
"163";"2021_11_22_085432-3"
"164";"2021_11_05_095108-21"
"165";"2021_11_28_132840-3"
"166";"2020_11_12_141252-55"
"167";"2020_11_07_093536-64"
"168";"2020_11_13_152744-78"
"169";"2021_11_03_144402-1"
"170";"2020_10_30_142210-45"
"171";"2021_11_16_121448-12"
"172";"2020_11_03_092342-8"
"173";"2021_11_06_093058-26"
"174";"2021_11_07_104404-3"
"175";"2020_11_08_091206-2"
"176";"2021_11_14_141218-1"
"177";"2020_11_09_113014-14"
"178";"2020_11_13_110538-100"
"179";"2021_11_21_151446-2"
"180";"2020_11_13_152744-77"
"181";"2021_11_11_162810-2"
"182";"2020_10_29_155446-14"
"183";"2020_11_15_100522-6"
"184";"2021_11_09_122404-25"
"185";"2020_10_30_093208-69"
"186";"2020_11_15_092230-46"
"187";"2020_11_18_163104-19"
"188";"2021_11_14_155106-4"
"189";"2020_10_30_104032-2"
"190";"2021_11_05_093810-2"
"191";"2020_11_07_101750-58"
"192";"2020_11_09_111948-1"
"193";"2020_11_09_103102-67"
"194";"2020_10_29_170216-2"
"195";"2020_11_18_151744-9"
"196";"2020_11_04_160728-1"
"197";"2021_11_16_165226-3"
"198";"2020_11_11_094702-2"
"199";"2020_10_30_142210-17"
"200";"2021_11_28_103150-3"
